House Name,Bedroom,Living Room,Size (m2)_x,"Total Price (￥10,000)",Unit Price (￥/m2),Subway,Size (m2)_y
蔚蓝城市花园,3,2,123.31,1128,91477,0,123.31
高境一村,1,1,42.54,219,51481,1,42.54
开鲁路382弄,1,1,41.54,245,58980,1,41.54
保利铃兰公馆,3,2,119.87,750,62568,0,119.87
馨佳园(菊盛路851弄),2,2,75.85,361,47594,0,75.85
洛川中路1100弄,2,1,45.65,440,96386,0,45.65
虹梅景苑一街坊,1,2,68.74,361,52517,0,68.74
海韵茗庭,2,2,112,837,74733,0,112
海东公寓,2,1,88.01,603,68515,0,88.01
当代万国府MOMA,1,1,53.55,366,68348,0,53.55
大三小区,1,1,40.7,293,71942,1,40.7
临平路256弄,1,0,35.63,346,97110,1,35.63
王满小区,1,1,37.02,223,60238,1,37.02
石泉路1号,2,1,73.65,470,63816,1,73.65
奥森花苑,3,2,142.75,860,60246,1,142.75
馨佳园(菊盛路1158弄),2,2,77.25,361,46732,0,77.25
新凯城玉兰苑,1,1,52.95,210,39661,0,52.95
桃浦十村（紫藤苑小区白丽路701弄）,1,1,40.04,190,47453,1,40.04
池鑫苑,3,2,130.83,486,37148,0,130.83
大华一村,2,1,53.9,340,63080,0,53.9
东兰兴城(东兰新村),1,1,53.01,408,76967,1,53.01
城市方园,2,1,69.49,379,54541,0,69.49
恒力公寓,3,2,137.8,1650,119739,1,137.8
明丰世纪苑,2,2,110.3,600,54398,0,110.3
复地香堤苑,4,2,206.86,763,36861,0,206.86
金地自在城(二期),3,2,132.4,515,38898,0,132.4
沁风雅泾,4,2,362.65,2400,66180,0,362.65
海上纳缇,2,2,92.53,230,24857,0,92.53
陇南小区,2,1,58,390,67242,0,58
宜川四村,1,0,34.2,168,49123,0,34.2
