Rooms,Floor,Area,HouseStructure,BuildingType,HouseOrientation,ConstructionTime,RenovationCondition,BuildingStructure,LadderRatio,Elevator,挂牌时间,TotalPrice,UnitPrice,TradeTime,DOM,Followers,HouseName1,Bedroom,Livingroom,Kitchen,Bathroom,HouseStructure_cat,BuildingType_cat,HouseOrientation_cat,RenovationCondition_cat,BuildingStructure_cat,Elevator_cat,Floor_cat
4室2厅1厨3卫        ,低,160,复式              ,板楼       ,西南   ,2007-01-01,精装     ,钢混结构  ,一梯三户           ,无           ,2021-05-17,800,49944,2021-05-26,10,68,沿海丽水馨庭(别墅),4,2,1,3,0,3,35,3,3,0,1
2室1厅1厨1卫        ,低,58,平层              ,板楼       ,南 北   ,1996-01-01,精装     ,砖混结构  ,一梯四户           ,无           ,2021-05-09,356,61188,2021-05-26,18,32,共和新路4699弄,2,1,1,1,1,3,23,3,2,0,1
2室2厅1厨1卫        ,高,86,平层              ,板楼       ,南   ,2002-01-01,精装     ,钢混结构  ,一梯两户           ,无           ,2021-02-03,697,80887,2021-05-26,113,80,鸿发家园,2,2,1,1,1,3,18,3,3,0,3
2室2厅1厨1卫        ,低,78,,板楼       ,南   ,2010-01-01,精装     ,钢混结构  ,一梯两户           ,有           ,2021-04-28,662,83819,2021-05-26,29,22,七韵美地苑,2,2,1,1,-1,3,18,3,3,1,1
1室1厅1厨1卫        ,高,49,,塔楼       ,西   ,2014-01-01,精装     ,钢混结构  ,四梯二十三户           ,有           ,2019-11-18,160,32561,2021-05-26,556,1,阳光城MODO自由区,1,1,1,1,-1,0,30,3,3,1,3
2室1厅1厨1卫        ,低,49,平层              ,板楼       ,东   ,1981-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-05-16,404,80833,2021-05-26,11,0,密三小区,2,1,1,1,1,3,0,2,2,0,1
2室2厅0厨1卫        ,高,90,,板楼       ,南   ,2015-01-01,精装     ,钢混结构  ,两梯三户           ,有           ,2021-05-18,515,57159,2021-05-26,9,0,光明·唐镇壹号,2,2,0,1,-1,3,18,3,3,1,3
3室2厅1厨1卫        ,高,105,,板楼       ,南   ,1994-01-01,其他     ,砖混结构  ,一梯两户           ,无           ,2021-05-24,563,53330,2021-05-26,3,0,杨镇新村,3,2,1,1,-1,3,18,0,2,0,3
2室2厅1厨1卫        ,中,94,平层              ,板楼       ,南   ,2006-01-01,精装     ,钢混结构  ,一梯两户           ,有           ,2021-05-02,576,60953,2021-05-26,25,2,美林小城,2,2,1,1,1,3,18,3,3,1,0
2室1厅1厨1卫        ,低,58,平层              ,板楼       ,南   ,1994-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-05-23,203,34797,2021-05-26,4,6,万寿新村(青浦),2,1,1,1,1,3,18,2,2,0,1
2室1厅1厨1卫        ,高,68,,板楼       ,南 北   ,1996-01-01,简装     ,砖混结构  ,一梯两户           ,无           ,2021-04-22,336,49202,2021-05-26,35,46,丰庄四村,2,1,1,1,-1,3,23,2,2,0,3
1室1厅1厨1卫        ,中,31,,板楼       ,南   ,1994-01-01,简装     ,砖混结构  ,一梯四户           ,无           ,2021-05-03,213,67066,2021-05-26,24,28,万荣小区,1,1,1,1,-1,3,18,2,2,0,0
2室2厅1厨1卫        ,中,81,,板楼       ,南   ,2005-01-01,简装     ,钢混结构  ,一梯两户           ,无           ,2021-05-24,720,88572,2021-05-26,3,0,振虹苑,2,2,1,1,-1,3,18,2,3,0,0
2室0厅1厨2卫        ,中,66,平层              ,板楼       ,南   ,1996-01-01,精装     ,砖混结构  ,一梯两户           ,无           ,2021-04-15,326,48832,2021-05-26,42,39,茂盛花苑,2,0,1,2,1,3,18,3,2,0,0
1室0厅1厨1卫        ,高,32,,板楼       ,南   ,1991-01-01,精装     ,砖混结构  ,一梯三户           ,无           ,2021-03-13,196,60513,2021-05-26,75,122,延吉东路137弄,1,0,1,1,-1,3,18,3,2,0,3
4室2厅1厨2卫        ,高,109,复式              ,板楼       ,南 北   ,1998-01-01,精装     ,钢混结构  ,一梯三户           ,无           ,2021-04-28,570,52017,2021-05-26,29,49,丽景新苑,4,2,1,2,0,3,23,3,3,0,3
1室1厅1厨1卫        ,高,29,平层              ,板楼       ,北   ,1996-01-01,简装     ,钢混结构  ,一梯六户           ,无           ,2021-02-21,240,82249,2021-05-26,95,65,安西小区,1,1,1,1,1,3,13,2,3,0,3
4室2厅1厨3卫        ,中,153,复式              ,板楼       ,南   ,,精装     ,钢混结构  ,一梯两户           ,无           ,2021-01-15,950,62092,2021-05-26,132,59,华府天地愉园,4,2,1,3,0,3,18,3,3,0,0
2室1厅1厨1卫        ,中,83,,板楼       ,南   ,2006-01-01,简装     ,钢混结构  ,一梯两户           ,无           ,2021-05-12,349,41993,2021-05-26,15,0,金盛佳苑,2,1,1,1,-1,3,18,2,3,0,0
