0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
4室2厅1厨3卫        ,低楼层(共4层)          ,160.18㎡          ,复式              ,暂无数据         ,板楼       ,西南   ,2007,精装     ,钢混结构  , ,一梯三户           ,无           ,1.07104E+11,商品房          ,5/17/2021,别墅          ,暂无数据       ,共有           ,800万,49944,2021.05.26 成交,沿海丽水馨庭(别墅) 4室2厅 160.18平米,800挂牌价格（万）,10成交周期（天）,0调价（次）,带看（次）,68关注（人）,4613浏览（次）
2室1厅1厨1卫        ,低楼层(共6层)          ,58.1㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,1996,精装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,5/9/2021,普通住宅          ,暂无数据       ,共有           ,356万,61188,2021.05.26 成交,共和新路4699弄 2室1厅 58.1平米,358挂牌价格（万）,18成交周期（天）,1调价（次）,带看（次）,32关注（人）,3987浏览（次）
2室2厅1厨1卫        ,高楼层(共6层)          ,86.17㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2002,精装     ,钢混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,2/3/2021,普通住宅          ,暂无数据       ,非共有           ,697万,80887,2021.05.26 成交,鸿发家园 2室2厅 86.17平米,697挂牌价格（万）,113成交周期（天）,3调价（次）,带看（次）,80关注（人）,9873浏览（次）
2室2厅1厨1卫        ,低楼层(共12层)          ,78.98㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2010,精装     ,钢混结构  , ,一梯两户           ,有           ,1.07104E+11,商品房          ,4/28/2021,普通住宅          ,暂无数据       ,共有           ,662万,83819,2021.05.26 成交,七韵美地苑 2室2厅 78.98平米,678挂牌价格（万）,29成交周期（天）,3调价（次）,带看（次）,22关注（人）,3651浏览（次）
1室1厅1厨1卫        ,高楼层(共20层)          ,49.14㎡          ,暂无数据              ,暂无数据         ,塔楼       ,西   ,2014,精装     ,钢混结构  , ,四梯二十三户           ,有           ,1.07102E+11,商品房          ,11/18/2019,商业办公类          ,暂无数据       ,非共有           ,160万,32561,2021.05.26 成交,阳光城MODO自由区 1室1厅 49.14平米,170挂牌价格（万）,556成交周期（天）,2调价（次）,带看（次）,1关注（人）,6436浏览（次）
2室1厅1厨1卫        ,低楼层(共6层)          ,49.98㎡          ,平层              ,暂无数据         ,板楼       ,东   ,1981,简装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,5/16/2021,普通住宅          ,暂无数据       ,非共有           ,404万,80833,2021.05.26 成交,密三小区 2室1厅 49.98平米,410挂牌价格（万）,11成交周期（天）,0调价（次）,带看（次）,0关注（人）,26浏览（次）
2室2厅0厨1卫        ,高楼层(共16层)          ,90.1㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2015,精装     ,钢混结构  , ,两梯三户           ,有           ,1.07104E+11,商品房          ,5/18/2021,普通住宅          ,暂无数据       ,非共有           ,515万,57159,2021.05.26 成交,光明·唐镇壹号 2室2厅 90.1平米,530挂牌价格（万）,9成交周期（天）,2调价（次）,带看（次）,0关注（人）,61浏览（次）
3室2厅1厨1卫        ,高楼层(共6层)          ,105.57㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,1994,其他     ,砖混结构  , ,一梯两户           ,无           ,1.07104E+11,商品房          ,5/24/2021,普通住宅          ,暂无数据       ,共有           ,563万,53330,2021.05.26 成交,杨镇新村 3室2厅 105.57平米,570挂牌价格（万）,3成交周期（天）,0调价（次）,带看（次）,0关注（人）,5浏览（次）
2室2厅1厨1卫        ,中楼层(共14层)          ,94.5㎡          ,平层              ,94.5㎡         ,板楼       ,南   ,2006,精装     ,钢混结构  , ,一梯两户           ,有           ,1.07104E+11,商品房          ,5/2/2021,普通住宅          ,暂无数据       ,共有           ,576万,60953,2021.05.26 成交,美林小城 2室2厅 94.5平米,576挂牌价格（万）,25成交周期（天）,1调价（次）,带看（次）,2关注（人）,20浏览（次）
2室1厅1厨1卫        ,低楼层(共6层)          ,58.34㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1994,简装     ,砖混结构  , ,一梯四户           ,无           ,1.07104E+11,商品房          ,5/23/2021,普通住宅          ,暂无数据       ,共有           ,203万,34797,2021.05.26 成交,万寿新村(青浦) 2室1厅 58.34平米,205挂牌价格（万）,4成交周期（天）,2调价（次）,带看（次）,6关注（人）,734浏览（次）
